Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Player,xMLBAMID,playerids,playerid
ATH,Athletics,117,427,506,108,58,22,1,27,78,76,72,5,145,3,3,1,,4,1,0.254173,0.36352,0.50222,0.86574,0.369205,0.143029,0.286971,0.498409,0.248047,3.6519,0.315826,-0.0780146,,82.7826,23.0473,-0.746802,-0.56459,-0.642604,2.91438,20.84135890007019,-9.774579763412476,136.056,730.9,6.247008547,730.9,6.247008547,19.8700008392334,0.03378378,1B,/players/nick-kurtz/35110/stats/batting,10.0,AL,Nick Kurtz,701762,35110,35110
STL,Cardinals,120,467,517,119,83,23,2,10,62,53,39,0,96,6,3,2,,11,3,0.254407,0.317937,0.381867,0.699804,0.307633,0.0764059,0.185504,0.411882,0.127459,5.09534,0.297699,0.781607,,58.7876,-2.2751,5.73093,-0.0237793,0.757827,2.89474,-0.17837464809417725,11.267965316772461,98.4715,519.0,4.325,519.0,4.325,364.7799987792969,0.0,SS,/players/masyn-winn/27479/stats/batting,28.0,NL,Masyn Winn,691026,27479,27479
MIN,Twins,103,400,446,99,52,19,4,24,68,59,35,2,122,7,3,1,,11,1,0.247129,0.317457,0.491546,0.809003,0.343945,0.0785768,0.274133,0.286637,0.244417,6.80526,0.292666,0.564689,,63.8732,11.1836,0.638323,1.15516,1.71985,2.89459,12.608003854751587,0.3198041319847107,120.717,602.0,5.844660194,602.0,5.844660194,73.4800033569336,0.07692308,OF,/players/byron-buxton/14161/stats/batting,8.0,AL,Byron Buxton,621439,14161,14161
SDP,Padres,115,447,498,119,85,21,1,12,56,55,44,1,86,4,3,1,,12,2,0.266413,0.334849,0.398978,0.733827,0.321561,0.0880063,0.173118,0.508359,0.132565,4.27811,0.303979,0.274484,,62.2973,3.4402,-0.258769,0.628953,0.903437,2.88866,6.573263108730316,5.07826840877533,109.604,560.0,4.869565217,560.0,4.869565217,237.1999969482422,0.05487805,SS,/players/xander-bogaerts/12161/stats/batting,29.0,NL,Xander Bogaerts,593428,12161,12161
ARI,Diamondbacks,88,309,348,85,59,17,1,8,40,41,34,2,61,3,2,0,,3,1,0.274639,0.348941,0.41105,0.759991,0.332015,0.0963691,0.176501,0.545997,0.136411,3.45558,0.318402,0.222804,,46.5026,5.35997,4.23697,-0.645478,-0.422674,2.86807,4.546776473522186,10.281567573547363,112.042,411.1,4.671590909,411.1,4.671590909,181.22000122070312,0.10309278,C,/players/gabriel-moreno/22664/stats/batting,15.0,NL,Gabriel Moreno,672515,22664,22664
NYY,Yankees,114,443,494,117,75,21,3,18,66,71,45,2,74,3,4,0,,9,3,0.264022,0.333643,0.448584,0.782227,0.337201,0.0912157,0.14869,0.613463,0.184562,4.88812,0.277783,0.187861,,68.0986,9.69078,4.50421,-0.0136245,0.174237,2.86054,10.636385574936867,0.29125118255615234,117.957,612.1,5.369298245,612.1,5.369298245,80.98999786376953,0.0,1B/OF,/players/cody-bellinger/15998/stats/batting,9.0,AL,Cody Bellinger,641355,15998,15998
PHI,Phillies,124,458,534,124,71,29,1,23,72,75,68,6,111,4,4,0,,8,3,0.269829,0.366078,0.484747,0.850825,0.363991,0.127151,0.208425,0.610056,0.214918,3.87111,0.307945,0.11159,,85.1227,22.0688,-1.00024,-0.405898,-0.294308,2.85806,20.77985507249832,-10.60980999469757,133.32,765.2,6.170967741,765.2,6.170967741,47.900001525878906,0.02439024,OF,/players/bryce-harper/11579/stats/batting,26.0,NL,Bryce Harper,547180,11579,11579
WSN,Nationals,117,431,507,111,62,25,1,23,74,66,69,7,150,3,3,1,,13,5,0.256671,0.361221,0.48047,0.84169,0.359642,0.135798,0.295501,0.459552,0.223799,4.79347,0.335899,0.259531,,79.1204,19.186,-0.572198,-0.0623492,0.197181,2.82274,19.418071448802948,-8.714328289031982,131.972,711.7,6.082905982,711.7,6.082905982,37.790000915527344,0.18947368,OF,/players/james-wood/29518/stats/batting,24.0,NL,James Wood,695578,29518,29518
NYY,Yankees,107,394,456,100,53,20,1,25,68,69,52,1,100,6,3,1,,4,1,0.254424,0.347942,0.502933,0.850874,0.36399,0.113797,0.219093,0.5194,0.248508,3.87286,0.276687,-0.297182,,72.7061,18.8495,0.0785461,-0.57424,-0.871421,2.81513,18.689383149147034,-6.862811483442783,136.411,643.5,6.014018691,643.5,6.014018691,53.189998626708984,0.31707317,1B,/players/ben-rice/29576/stats/batting,9.0,AL,Ben Rice,700250,29576,29576
DET,Tigers,120,461,518,122,74,25,2,22,68,75,51,1,140,3,3,0,,3,2,0.264398,0.340102,0.467026,0.807129,0.347615,0.0987068,0.269664,0.366037,0.202628,3.60014,0.331389,0.0476941,,75.7972,14.5456,1.49139,-0.883927,-0.836233,2.78643,13.675723016262054,-4.301660656929016,123.752,675.0,5.625,675.0,5.625,78.4800033569336,0.14213198,OF,/players/riley-greene/25976/stats/batting,6.0,AL,Riley Greene,682985,25976,25976
