Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,Player,xMLBAMID,playerids,playerid
KCR,Royals,6,5,17,20,,,,92.0,395,87,42,38,8,94,33,,2,3.71908,1.30145,9.16059,3.25074,2.818,0.799683,0.238096,0.0844912,0.15360504388809204,,0.241719,0.30591,0.724084,3.40964,439.2000000000001,4.773913043478262,439.0,4.771739130434782,1.9406,1.58285,190.69000244140625,7,AL,Kris Bubic,663460,21455,21455
KCR,Royals,6,6,19,20,,,,98.0,417,84,49,45,13,123,39,,2,4.11296,1.25398,11.2242,3.56827,3.14555,1.14869,0.29449,0.0936211,0.2008686363697052,,0.224714,0.298977,0.704222,3.55673,469.9000000000001,4.7948979591836745,444.0,4.530612244897959,1.93038,1.27256,48.15999984741211,7,AL,Cole Ragans,666142,21846,21846
BAL,Orioles,7,6,22,22,,,,113.0,477,108,55,51,13,98,35,,4,4.04483,1.27116,7.8553,2.77875,2.82692,1.00997,0.205882,0.0728291,0.13305310159921646,,0.247201,0.292344,0.702527,3.88682,474.50000000000006,4.1991150442477885,475.0,4.20353982300885,1.92824,1.38027,146.07000732421875,2,AL,Trevor Rogers,669432,22286,22286
KCR,Royals,7,8,22,22,,,,122.0,519,119,62,57,15,99,37,,3,4.2305,1.27762,7.32313,2.71974,2.69259,1.09183,0.191731,0.0712071,0.12052413821220398,,0.249262,0.286782,0.692096,4.07669,486.9000000000002,3.990983606557379,493.0,4.040983606557377,1.89638,1.49623,609.2899780273438,7,AL,Michael Wacha,608379,14078,14078
MIN,Twins,6,6,23,23,,,,124.0,519,120,63,58,18,109,31,,5,4.2055,1.2158,7.94601,2.21548,3.58658,1.32833,0.211023,0.0588368,0.15218615904450417,,0.249008,0.287075,0.701457,4.15763,494.19999999999993,3.9854838709677414,496.0,4.0,1.88387,1.38167,494.3399963378906,8,AL,Bailey Ober,641927,21224,21224
PIT,Pirates,6,4,15,26,,,,93.0,393,89,39,36,9,90,27,,4,3.465,1.23677,8.6245,2.55682,3.37313,0.820472,0.227749,0.0675185,0.16023048758506775,,0.2456,0.304471,0.737772,3.38955,433.1,4.656989247311828,435.0,4.67741935483871,1.87066,1.93796,239.36000061035156,27,NL,Braxton Ashcraft,677952,23793,23793
TBR,Rays,6,5,23,24,,,,113.0,465,102,51,47,14,99,28,,3,3.74116,1.14924,7.89474,2.2184,3.55875,1.1491,0.213093,0.0598785,0.15321428701281548,,0.234847,0.272997,0.718614,3.85805,503.8,4.458407079646018,488.0,4.31858407079646,1.86483,1.92237,132.36000061035156,12,AL,Drew Rasmussen,656876,25385,25385
MIN,Twins,6,7,24,24,,,,125.0,534,118,64,59,16,120,44,,4,4.22962,1.29578,8.61906,3.15969,2.72782,1.14509,0.22443,0.0822746,0.14215560257434845,,0.243206,0.292009,0.702325,4.02207,517.4000000000001,4.139200000000001,513.0,4.104,1.86139,1.34282,492.4599914550781,8,AL,Taj Bradley,671737,22543,22543
CHC,Cubs,8,6,20,20,,,,110.0,462,102,52,48,14,104,31,,4,3.86998,1.20794,8.4575,2.52326,3.35181,1.1083,0.224929,0.0671065,0.15782199054956436,,0.240426,0.287791,0.715136,3.81602,479.59999999999997,4.359999999999999,471.0,4.281818181818182,1.83872,1.62633,212.75999450683594,17,NL,Matthew Boyd,571510,15440,15440
MIL,Brewers,7,5,20,23,,,,104.0,435,80,48,44,13,132,44,,9,3.80984,1.19691,11.4365,3.818,2.99541,1.08585,0.304139,0.101535,0.20260385423898697,,0.210904,0.286946,0.716717,3.70531,506.69999999999993,4.872115384615384,456.0,4.384615384615385,1.83705,1.68365,114.13999938964844,23,NL,Jacob Misiorowski,694819,31623,31623
NYM,Mets,6,6,21,23,,,,121.0,527,119,61,56,11,110,48,,6,4.1582,1.37453,8.14137,3.5408,2.2993,0.787396,0.208203,0.0905505,0.11765231937170029,,0.251554,0.307287,0.696726,3.79708,508.70000000000016,4.20413223140496,520.0,4.297520661157025,1.83105,1.27131,452.0400085449219,25,NL,David Peterson,656849,20302,20302
NYY,Yankees,6,6,23,24,,,,117.0,495,108,60,55,15,118,40,,5,4.26854,1.27097,9.12626,3.08622,2.9571,1.1306,0.23893,0.080799,0.158131405711174,,0.240477,0.295058,0.689843,3.89453,501.50000000000017,4.286324786324788,491.0,4.196581196581197,1.82592,1.12168,285.04998779296875,9,AL,Will Warren,701542,30182,30182
BAL,Orioles,5,4,18,18,,,,90.0,380,79,41,37,9,93,33,,4,3.71968,1.24028,9.26762,3.24899,2.85246,0.892141,0.244384,0.0856747,0.15870889276266098,,0.230668,0.290773,0.71815,3.56937,424.9,4.721111111111111,408.0,4.533333333333333,1.81379,1.3972,72.95999908447266,2,AL,Kyle Bradish,680694,24586,24586
TBR,Rays,8,7,17,31,,,,117.0,496,117,56,52,12,87,33,,4,3.99485,1.28884,6.71919,2.54031,2.64503,0.91719,0.175546,0.0663682,0.10917771607637405,,0.255534,0.292713,0.703537,3.90805,477.00000000000017,4.076923076923078,492.0,4.205128205128205,1.8104,1.49932,738.3400268554688,12,AL,Nick Martinez,607259,12730,12730
MIL,Brewers,6,5,18,18,,,,87.0,359,78,40,37,12,90,23,,4,3.8409,1.15058,9.35009,2.33229,4.00898,1.22201,0.251953,0.062847,0.18910552561283112,,0.233123,0.285239,0.714952,3.72092,392.40000000000003,4.5103448275862075,378.0,4.344827586206897,1.74938,1.45044,143.82000732421875,23,NL,Brandon Woodruff,605540,16162,16162
TEX,Rangers,8,8,24,24,,,,125.0,529,108,64,59,16,120,48,,5,4.20428,1.25024,8.60643,3.48051,2.47275,1.16649,0.226544,0.091616,0.13492760062217712,,0.227422,0.270703,0.694692,4.17992,528.4000000000001,4.227200000000001,498.0,3.984,1.73288,1.20147,230.7100067138672,13,AL,Jack Leiter,683004,30146,30146
ATH,Athletics,8,8,22,23,,,,121.0,518,119,63,58,17,106,40,,2,4.28726,1.31024,7.89458,2.9493,2.67677,1.29094,0.204997,0.076584,0.12841349840164185,,0.24971,0.287945,0.714291,4.27822,462.9000000000001,3.8256198347107446,470.0,3.884297520661157,1.73013,1.31041,722.25,10,AL,Jeffrey Springs,605488,17677,17677
NYM,Mets,8,7,20,23,,,,114.0,495,117,55,51,10,92,39,,6,4.01283,1.36793,7.29248,3.08771,2.36177,0.764024,0.18692,0.0791437,0.10777591168880463,,0.260405,0.309153,0.70715,3.81603,465.3999999999999,4.082456140350876,489.0,4.2894736842105265,1.71457,1.44504,330.6300048828125,25,NL,Clay Holmes,605280,13649,13649
LAA,Angels,5,6,15,31,,,,98.0,411,87,50,46,12,109,33,,6,4.20424,1.22436,10.0438,3.00594,3.34132,1.06798,0.265678,0.079513,0.18616506457328796,,0.233907,0.300057,0.67717,3.62779,452.40000000000003,4.616326530612246,435.0,4.438775510204081,1.71069,0.91923,350.4599914550781,1,AL,Reid Detmers,672282,27468,27468
CHC,Cubs,7,6,21,21,,,,116.0,478,106,55,50,19,112,27,,3,3.87692,1.13693,8.68159,2.05173,4.23134,1.4699,0.234869,0.0555069,0.17936168983578682,,0.235841,0.273509,0.736232,4.08785,483.1,4.164655172413793,467.0,4.025862068965517,1.69934,1.69775,157.92999267578125,17,NL,Shota Imanaga,684007,33829,33829
CLE,Guardians,6,5,21,22,,,,107.0,451,99,48,45,13,105,35,,6,3.75767,1.25592,8.82649,2.92563,3.01695,1.07439,0.231975,0.0768907,0.15508464723825455,,0.242165,0.295752,0.736682,3.8771,461.5000000000001,4.313084112149534,453.0,4.233644859813084,1.66498,1.74468,294.17999267578125,5,AL,Parker Messick,800048,31986,31986
HOU,Astros,5,4,18,18,,,,94.0,400,82,46,42,13,109,38,,3,4.01283,1.26741,10.3654,3.60645,2.87413,1.24839,0.271299,0.0943937,0.17690572142601013,,0.227138,0.288277,0.729367,3.92326,417.50000000000006,4.4414893617021285,396.0,4.212765957446808,1.66413,1.16425,999.0,21,AL,Tatsuya Imai,837227,37124,37124
DET,Tigers,6,6,21,21,,,,106.0,449,104,52,48,13,98,32,,4,4.08193,1.28723,8.31582,2.74191,3.03285,1.14293,0.217032,0.0715603,0.14547162503004074,,0.251086,0.298912,0.715895,3.97028,442.10000000000014,4.170754716981134,449.0,4.235849056603773,1.64497,1.34409,289.6499938964844,6,AL,Casey Mize,663554,20492,20492
BAL,Orioles,7,7,23,23,,,,120.0,507,110,61,56,15,115,41,,7,4.21293,1.26972,8.67301,3.11403,2.78514,1.13192,0.227224,0.0815847,0.1456398293375969,,0.240745,0.290429,0.695758,4.0552,503.5,4.195833333333334,491.0,4.091666666666667,1.64496,1.1962,186.92999267578125,2,AL,Shane Baz,669358,22264,22264
